               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12798,            0.041139,            0.053306,                   0,                   0,                   0,                   0,             0.12868,            0.039079,            0.051347,              0.0955,              0.0005,              0.0005
                   1,             0.12635,            0.045219,            0.050608,          0.00032841,           0.0095238,          0.00028581,          0.00011433,             0.12334,            0.038227,            0.048574,            0.090078,           0.0010782,           0.0010782
                   2,             0.12161,            0.040476,            0.049025,           0.0010217,            0.038095,           0.0022644,          0.00071292,             0.11812,            0.037836,            0.045835,            0.084633,           0.0016327,           0.0016327
                   3,             0.11616,            0.040455,            0.045909,           0.0019376,             0.11071,            0.018704,           0.0060088,             0.11052,            0.039267,            0.042317,            0.079163,           0.0021634,           0.0021634
                   4,             0.11265,            0.046003,            0.045884,           0.0020583,             0.11429,            0.021738,           0.0064754,             0.10803,            0.039154,            0.039135,             0.07367,           0.0026703,           0.0026703
                   5,             0.11222,            0.041656,            0.042828,            0.013103,            0.095238,            0.028989,           0.0061383,             0.10836,            0.038493,            0.036585,            0.068154,           0.0031535,           0.0031535
                   6,             0.10743,            0.038544,             0.03788,             0.50922,           0.0095238,            0.020216,           0.0046901,             0.10618,            0.038525,            0.034064,            0.062613,           0.0036129,           0.0036129
                   7,             0.10471,              0.0399,            0.038099,             0.44234,            0.028571,            0.034921,           0.0081041,              0.1045,            0.038227,            0.032369,            0.057049,           0.0040486,           0.0040486
                   8,             0.10225,            0.037831,            0.033992,               0.642,            0.057143,            0.049164,            0.012438,              0.1099,            0.035982,            0.031228,             0.05146,           0.0044605,           0.0044605
                   9,             0.10602,            0.033768,            0.033069,              0.6569,            0.060695,            0.053912,            0.012511,            0.099075,            0.037727,            0.030644,            0.045849,           0.0048486,           0.0048486
                  10,            0.098578,            0.051515,            0.033746,             0.66023,             0.07619,            0.069559,            0.018641,            0.097396,            0.039569,            0.030163,            0.040213,            0.005213,            0.005213
                  11,            0.098477,            0.041555,            0.032805,             0.65107,            0.066667,            0.047857,            0.017852,            0.094754,             0.04262,            0.029726,            0.034554,           0.0055536,           0.0055536
                  12,            0.094974,            0.055261,            0.033071,              0.6681,             0.08419,            0.060233,            0.017841,             0.10033,            0.047016,            0.029629,             0.02887,           0.0058705,           0.0058705
                  13,            0.093754,            0.038129,            0.028897,             0.68706,            0.074667,            0.066758,            0.016485,            0.096899,            0.042829,            0.028774,            0.023164,           0.0061636,           0.0061636
                  14,            0.089665,            0.043465,             0.03027,             0.68444,             0.08419,            0.056339,            0.019702,            0.092791,            0.039933,            0.028399,            0.017433,           0.0064329,           0.0064329
                  15,            0.086208,            0.032785,            0.027876,             0.51041,             0.16599,             0.07813,             0.02032,             0.10377,            0.033271,            0.027795,            0.011678,           0.0066785,           0.0066785
                  16,            0.091176,            0.035485,            0.028341,              0.3005,             0.17929,             0.11875,            0.039985,            0.094179,            0.036173,            0.027747,            0.006832,            0.006832,            0.006832
                  17,            0.091256,            0.042557,            0.028814,             0.33113,             0.23709,             0.11158,            0.034314,            0.087805,            0.036097,            0.027113,            0.006832,            0.006832,            0.006832
                  18,            0.085594,            0.039052,            0.029552,             0.28937,             0.24574,            0.095305,            0.029091,            0.094579,            0.034205,            0.026841,            0.006634,            0.006634,            0.006634
                  19,            0.085185,            0.038842,            0.028414,              0.5556,              0.1937,             0.13404,            0.029169,            0.095179,            0.033705,            0.026456,            0.006436,            0.006436,            0.006436
                  20,            0.089708,            0.031439,            0.030885,             0.63209,             0.15799,             0.13528,            0.029478,            0.094553,            0.033354,            0.026407,            0.006238,            0.006238,            0.006238
                  21,            0.086245,            0.040172,            0.028451,              0.5168,             0.19952,             0.14322,            0.059147,            0.089819,            0.034393,            0.026293,             0.00604,             0.00604,             0.00604
                  22,            0.084264,            0.034784,            0.026693,             0.35315,             0.31532,             0.15555,            0.052483,            0.079669,            0.037274,            0.026255,            0.005842,            0.005842,            0.005842
                  23,            0.078864,            0.037462,            0.025976,             0.37909,             0.30579,             0.18691,            0.063127,            0.077094,            0.038062,            0.026365,            0.005644,            0.005644,            0.005644
                  24,            0.081451,              0.0325,            0.026907,              0.5877,             0.24317,             0.18793,             0.07828,            0.081881,            0.034086,            0.026325,            0.005446,            0.005446,            0.005446
                  25,            0.080493,            0.032976,            0.027651,             0.34867,             0.25645,             0.17632,            0.069441,            0.080712,            0.032976,             0.02624,            0.005248,            0.005248,            0.005248
                  26,            0.079237,             0.03209,            0.027503,             0.35015,             0.28079,             0.16818,            0.045401,            0.081206,            0.034515,            0.026223,             0.00505,             0.00505,             0.00505
                  27,            0.078111,            0.033085,            0.026284,             0.77456,             0.17638,             0.18168,            0.054014,            0.077817,            0.034499,            0.026087,            0.004852,            0.004852,            0.004852
                  28,            0.077238,            0.035726,            0.027101,             0.55025,             0.22809,             0.16928,            0.074038,            0.072477,              0.0338,            0.026172,            0.004654,            0.004654,            0.004654
                  29,            0.072754,            0.022738,            0.023802,             0.89052,             0.15827,             0.16876,            0.059408,            0.078333,            0.033904,            0.026143,            0.004456,            0.004456,            0.004456
                  30,            0.074309,            0.036135,            0.025466,             0.78305,             0.16198,             0.17705,             0.07336,            0.079285,            0.033071,            0.026061,            0.004258,            0.004258,            0.004258
                  31,            0.074451,            0.031621,            0.026438,              0.5211,             0.24409,             0.17768,            0.078528,            0.076323,            0.033216,            0.025921,             0.00406,             0.00406,             0.00406
                  32,            0.075549,            0.035108,            0.026821,             0.80089,              0.2019,             0.20937,            0.081136,            0.071602,            0.033906,             0.02596,            0.003862,            0.003862,            0.003862
                  33,            0.071192,            0.032956,            0.024649,             0.81968,             0.18286,             0.21889,            0.086766,            0.068771,            0.033784,            0.025834,            0.003664,            0.003664,            0.003664
                  34,            0.071518,            0.034295,             0.02253,             0.78382,             0.17333,              0.2069,            0.081014,            0.072489,            0.033232,            0.025755,            0.003466,            0.003466,            0.003466
                  35,            0.071826,            0.031596,            0.025432,             0.35441,              0.2534,             0.21124,             0.09696,            0.071439,            0.033275,            0.025642,            0.003268,            0.003268,            0.003268
                  36,            0.069831,            0.028656,            0.021475,             0.37837,             0.23058,             0.23042,            0.084878,            0.070039,            0.034117,            0.025562,             0.00307,             0.00307,             0.00307
