               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069437,            0.035082,            0.027425,             0.32964,             0.29697,             0.20536,             0.10618,            0.058331,            0.023005,            0.016657,              0.0955,              0.0005,              0.0005
                   1,            0.069062,            0.033246,            0.022891,             0.35161,             0.28788,             0.18544,            0.093249,            0.058861,            0.023244,            0.016938,            0.089918,           0.0009185,           0.0009185
                   2,              0.0682,            0.032363,            0.023587,             0.35352,             0.33557,             0.19853,            0.097992,            0.058065,            0.022854,            0.016707,            0.084139,            0.001139,            0.001139
                   3,            0.068109,            0.036679,            0.026001,              0.8169,             0.32727,              0.3304,             0.17061,            0.060595,            0.022639,            0.017059,            0.078162,           0.0011615,           0.0011615
                   4,            0.066933,            0.041996,            0.026198,             0.34788,              0.3303,             0.18758,            0.094067,            0.057845,            0.023633,            0.017638,            0.071986,            0.000986,            0.000986
                   5,            0.067535,            0.034275,            0.026969,             0.76471,             0.32727,             0.32007,              0.1725,            0.057113,            0.021528,            0.016375,            0.065613,           0.0006125,           0.0006125
