               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12883,             0.04424,            0.052764,                   0,                   0,                   0,                   0,             0.12875,            0.038596,            0.053807,              0.0955,              0.0005,              0.0005
                   1,             0.12513,             0.04427,            0.050664,           0.0010601,            0.027273,          0.00062054,           0.0001388,             0.12376,            0.037823,            0.051468,            0.090096,           0.0010964,           0.0010964
                   2,             0.11977,             0.04522,            0.049104,           0.0016327,            0.054545,           0.0019894,           0.0002867,             0.11845,            0.037766,            0.048601,            0.084689,           0.0016888,           0.0016888
                   3,             0.11575,            0.044628,            0.046086,           0.0012958,            0.065455,           0.0060727,           0.0012213,             0.11459,            0.037526,            0.045544,            0.079277,           0.0022772,           0.0022772
                   4,             0.11229,            0.040079,             0.04522,           0.0017294,             0.10434,           0.0016105,          0.00047979,             0.11679,            0.036207,            0.042333,            0.073862,           0.0028617,           0.0028617
                   5,              0.1109,            0.041226,            0.042132,           0.0029437,             0.17535,            0.029437,           0.0088536,             0.10772,            0.037012,            0.039411,            0.068442,           0.0034422,           0.0034422
                   6,              0.1072,            0.043026,            0.041972,           0.0025852,             0.15111,            0.022997,           0.0046711,             0.10737,            0.036145,            0.036764,            0.063019,           0.0040188,           0.0040188
                   7,             0.10394,            0.039463,            0.038293,             0.65285,            0.036364,            0.028512,           0.0064371,             0.11013,            0.035188,            0.034191,            0.057591,           0.0045914,           0.0045914
                   8,              0.1006,            0.044935,            0.036255,             0.11274,            0.080101,            0.054529,            0.013547,             0.10972,            0.034827,            0.032539,             0.05216,           0.0051601,           0.0051601
                   9,             0.10407,            0.036657,             0.03338,             0.57728,            0.083636,            0.071556,            0.019223,             0.10614,            0.036598,             0.03192,            0.046725,           0.0057248,           0.0057248
                  10,            0.097703,            0.042948,            0.033727,             0.67385,             0.10556,             0.08229,            0.022048,             0.10391,             0.04084,            0.031288,            0.041285,           0.0062855,           0.0062855
                  11,            0.099084,            0.036018,            0.032397,             0.75954,             0.07582,             0.12733,            0.044523,             0.09866,            0.041974,            0.030346,            0.035842,           0.0068423,           0.0068423
                  12,            0.094112,            0.040524,            0.029906,             0.28348,             0.22879,            0.098385,              0.0323,             0.10306,            0.040252,            0.030214,            0.030395,           0.0073951,           0.0073951
                  13,            0.092581,            0.037118,            0.031908,             0.29044,             0.28088,             0.10101,             0.03186,              0.1046,            0.036486,            0.030094,            0.024944,           0.0079439,           0.0079439
                  14,            0.094709,            0.037547,             0.02944,             0.30021,             0.19384,            0.073795,             0.02469,             0.10331,            0.035422,            0.029174,            0.019489,           0.0084888,           0.0084888
                  15,            0.090463,            0.030114,            0.027531,             0.26874,             0.24818,            0.053798,            0.016019,             0.10067,            0.033646,            0.028449,             0.01403,           0.0090297,           0.0090297
                  16,            0.090313,            0.036215,            0.028138,             0.26601,             0.22465,            0.053135,            0.016236,             0.10065,            0.032426,            0.028421,            0.009472,            0.009472,            0.009472
                  17,            0.090606,             0.03908,            0.027725,             0.48876,             0.16909,             0.11926,            0.037248,             0.10072,            0.034225,            0.028382,            0.009472,            0.009472,            0.009472
                  18,            0.093232,            0.031108,            0.023547,               0.252,             0.28667,            0.069662,            0.022694,             0.10346,            0.035134,            0.028716,            0.009439,            0.009439,            0.009439
                  19,              0.0924,            0.035939,            0.028109,             0.70464,             0.11313,             0.12979,            0.049466,            0.098776,             0.03435,            0.028516,            0.009406,            0.009406,            0.009406
                  20,            0.089715,            0.029284,            0.029135,             0.26642,             0.21064,              0.1412,             0.05732,            0.095009,            0.035053,            0.028451,            0.009373,            0.009373,            0.009373
                  21,            0.087769,            0.038309,            0.027471,              0.7018,              0.1096,             0.10098,             0.02278,            0.099534,            0.034228,            0.029337,             0.00934,             0.00934,             0.00934
                  22,            0.090201,            0.031556,            0.028287,             0.32017,             0.28222,             0.14623,            0.052189,            0.089796,            0.034276,             0.02965,            0.009307,            0.009307,            0.009307
                  23,            0.086149,             0.03236,            0.029647,             0.33857,             0.28707,             0.16538,            0.055501,             0.09152,            0.038214,            0.029658,            0.009274,            0.009274,            0.009274
                  24,            0.083817,            0.033371,            0.029076,              0.8166,             0.10404,             0.13924,            0.060498,            0.091005,            0.039507,            0.029793,            0.009241,            0.009241,            0.009241
                  25,            0.083158,            0.032757,            0.026601,             0.28508,             0.27576,             0.12363,            0.040184,            0.092017,            0.038301,            0.028509,            0.009208,            0.009208,            0.009208
                  26,            0.081311,            0.038502,             0.02546,               0.347,             0.28111,             0.16867,            0.060317,            0.091933,            0.034962,            0.028513,            0.009175,            0.009175,            0.009175
                  27,             0.07775,            0.033462,            0.024314,             0.30616,             0.31596,             0.15284,            0.052261,            0.087789,            0.041816,              0.0293,            0.009142,            0.009142,            0.009142
                  28,             0.07857,             0.03241,            0.024709,             0.38211,             0.29131,             0.16988,            0.064323,            0.082892,            0.032177,            0.028842,            0.009109,            0.009109,            0.009109
                  29,              0.0742,            0.026325,            0.026255,             0.32602,              0.2802,             0.20405,            0.067551,            0.088355,            0.035652,            0.028878,            0.009076,            0.009076,            0.009076
                  30,             0.08192,             0.03502,            0.025685,             0.36089,             0.32556,             0.18759,            0.055099,            0.087191,            0.031986,            0.027855,            0.009043,            0.009043,            0.009043
                  31,            0.077585,            0.031517,            0.024569,             0.39314,             0.32061,             0.22903,            0.086216,            0.083792,            0.030815,            0.027444,             0.00901,             0.00901,             0.00901
                  32,             0.07799,            0.036784,            0.023164,             0.40373,             0.34218,             0.19062,            0.069918,            0.081867,            0.036964,            0.027541,            0.008977,            0.008977,            0.008977
                  33,            0.074427,            0.025383,            0.023978,             0.55395,             0.33528,             0.24545,             0.09802,            0.082946,            0.030473,             0.02736,            0.008944,            0.008944,            0.008944
                  34,            0.076527,            0.030788,            0.022772,             0.48166,              0.3304,             0.25711,            0.095741,            0.082377,            0.031704,             0.02735,            0.008911,            0.008911,            0.008911
