               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12883,             0.04425,            0.052763,                   0,                   0,                   0,                   0,             0.12876,            0.038528,            0.053805,              0.0955,              0.0005,              0.0005
                   1,             0.12513,            0.044286,            0.050663,           0.0010676,            0.027273,          0.00062381,           0.0001396,             0.12374,            0.037947,            0.051476,            0.090095,           0.0010946,           0.0010946
                   2,             0.11977,            0.045173,            0.049111,           0.0016216,            0.054545,           0.0019165,          0.00031431,             0.11849,            0.037755,             0.04862,            0.084683,           0.0016832,           0.0016832
                   3,             0.11571,            0.044597,            0.046076,           0.0012829,            0.065455,           0.0066375,           0.0010531,             0.11463,             0.03748,            0.045519,            0.079266,           0.0022658,           0.0022658
                   4,             0.11228,            0.040075,            0.045216,           0.0011073,             0.05101,           0.0011275,          0.00032062,             0.11841,            0.036184,            0.042349,            0.073843,           0.0028426,           0.0028426
                   5,              0.1108,            0.041273,             0.04213,           0.0024632,             0.14202,            0.018466,           0.0053209,             0.10957,            0.036829,            0.039379,            0.068413,           0.0034134,           0.0034134
                   6,             0.10708,            0.043029,            0.041937,           0.0024637,             0.14202,            0.020363,           0.0043542,             0.10763,            0.036081,            0.036678,            0.062978,           0.0039782,           0.0039782
                   7,             0.10488,            0.039489,            0.038222,            0.012542,            0.072727,            0.029431,           0.0063171,             0.11065,            0.035041,            0.034954,            0.057537,           0.0045371,           0.0045371
                   8,             0.10031,            0.045335,            0.036809,             0.67992,            0.027273,            0.036589,            0.011569,             0.11052,            0.034191,            0.032819,             0.05209,           0.0050901,           0.0050901
                   9,             0.10412,            0.037229,              0.0337,             0.52789,            0.080101,            0.069255,            0.018405,             0.10778,            0.035779,            0.032017,            0.046637,           0.0056372,           0.0056372
                  10,            0.097321,            0.043427,            0.034068,             0.49203,             0.10737,            0.072156,            0.023494,             0.10297,            0.040143,            0.031767,            0.041178,           0.0061782,           0.0061782
                  11,              0.1012,            0.036301,            0.032865,             0.73526,             0.10556,             0.13815,            0.045361,            0.099813,            0.041243,            0.031135,            0.035713,           0.0067134,           0.0067134
                  12,            0.094281,            0.040578,            0.030578,             0.73485,            0.068174,            0.072292,            0.024801,             0.10335,            0.038645,            0.030247,            0.030243,           0.0072426,           0.0072426
                  13,            0.093101,            0.037791,            0.032394,             0.28742,             0.23081,            0.092477,            0.027186,              0.1026,            0.037318,            0.029985,            0.024766,           0.0077659,           0.0077659
                  14,            0.092592,            0.038195,            0.029839,             0.28403,             0.24414,            0.062284,            0.018372,              0.1018,            0.036318,             0.02947,            0.019283,           0.0082832,           0.0082832
                  15,            0.090807,            0.030259,            0.027808,             0.27678,             0.25575,             0.09647,            0.032361,              0.1024,            0.036105,            0.028932,            0.013795,           0.0087946,           0.0087946
                  16,            0.092036,            0.035861,            0.028301,             0.27926,             0.28859,            0.098963,            0.029845,             0.10873,            0.034079,            0.028796,            0.009208,            0.009208,            0.009208
                  17,            0.092744,            0.037241,             0.02768,             0.25984,             0.25465,            0.062137,            0.017422,             0.10714,            0.034413,            0.029082,            0.009208,            0.009208,            0.009208
                  18,            0.088504,            0.030367,            0.024084,             0.30873,             0.26465,             0.11671,            0.038321,            0.090963,            0.035564,            0.029121,           0.0091585,           0.0091585,           0.0091585
                  19,             0.08824,            0.036678,            0.027808,             0.26874,             0.24263,              0.1073,            0.034343,            0.090864,            0.037772,            0.028325,            0.009109,            0.009109,            0.009109
                  20,            0.089614,            0.029228,            0.028649,             0.26269,             0.20889,             0.10863,            0.032893,             0.10259,            0.036189,            0.028176,           0.0090595,           0.0090595,           0.0090595
                  21,            0.092284,            0.037565,             0.02725,             0.28274,             0.20263,             0.11579,            0.032289,            0.095616,            0.035726,            0.027991,             0.00901,             0.00901,             0.00901
                  22,            0.086394,            0.033477,            0.028008,             0.33714,             0.26889,             0.13978,            0.049167,            0.088242,            0.036506,            0.028018,           0.0089605,           0.0089605,           0.0089605
                  23,            0.084814,            0.032804,            0.029732,             0.32942,             0.27667,             0.16932,            0.056327,            0.089981,            0.037082,            0.028534,            0.008911,            0.008911,            0.008911
                  24,            0.082792,            0.033045,            0.028947,             0.24693,             0.22838,             0.10336,            0.036394,            0.091849,            0.035504,            0.028771,           0.0088615,           0.0088615,           0.0088615
                  25,            0.082266,            0.033109,            0.026745,             0.54562,             0.24111,             0.17397,            0.063694,            0.087765,            0.035731,            0.028146,            0.008812,            0.008812,            0.008812
                  26,            0.078492,            0.038061,            0.025424,             0.52296,             0.27818,             0.20988,            0.080424,            0.085375,            0.033585,            0.028023,           0.0087625,           0.0087625,           0.0087625
                  27,            0.077218,            0.032819,            0.024205,             0.57585,             0.24367,             0.18304,            0.062302,            0.090447,            0.031863,            0.028128,            0.008713,            0.008713,            0.008713
                  28,            0.081278,            0.030758,             0.02434,             0.43467,             0.28365,             0.23689,            0.071636,             0.08099,            0.032745,            0.027963,           0.0086635,           0.0086635,           0.0086635
                  29,            0.072644,            0.025901,            0.026258,             0.31454,               0.291,             0.15781,             0.04914,            0.086865,            0.029572,            0.028261,            0.008614,            0.008614,            0.008614
                  30,            0.081211,            0.035156,            0.025508,             0.39768,             0.31091,             0.25089,            0.095041,            0.081662,             0.03016,            0.027359,           0.0085645,           0.0085645,           0.0085645
                  31,            0.075625,             0.03234,            0.024424,             0.44466,              0.3175,             0.24199,            0.081723,            0.081463,            0.030643,             0.02715,            0.008515,            0.008515,            0.008515
                  32,            0.075355,            0.037501,            0.023225,             0.41792,             0.32961,              0.2381,            0.094921,            0.077097,            0.034402,            0.027207,           0.0084655,           0.0084655,           0.0084655
                  33,            0.070388,            0.025343,            0.023835,             0.44916,              0.3142,             0.22155,            0.097092,            0.085911,            0.028534,            0.027675,            0.008416,            0.008416,            0.008416
                  34,            0.076582,            0.030561,            0.022459,             0.49255,             0.36086,             0.23567,            0.085826,            0.078423,            0.030427,            0.027832,           0.0083665,           0.0083665,           0.0083665
                  35,            0.069147,            0.030563,            0.022222,             0.54109,             0.37081,             0.27733,             0.11276,            0.083221,            0.029764,            0.027521,            0.008317,            0.008317,            0.008317
                  36,            0.073405,            0.031997,            0.022943,             0.45603,             0.34859,             0.23925,             0.07438,            0.079948,            0.029943,            0.027218,           0.0082675,           0.0082675,           0.0082675
                  37,            0.073414,            0.031806,             0.02261,             0.48339,             0.34647,             0.27811,             0.12008,            0.080549,            0.029958,            0.026587,            0.008218,            0.008218,            0.008218
                  38,            0.072975,            0.029318,            0.025027,             0.42095,             0.39141,             0.29333,             0.11283,            0.076948,            0.030291,            0.026585,           0.0081685,           0.0081685,           0.0081685
                  39,            0.067578,            0.026671,            0.021968,             0.43096,             0.37977,             0.24485,            0.089511,            0.077018,             0.03055,            0.026181,            0.008119,            0.008119,            0.008119
                  40,            0.070205,            0.027702,             0.02462,             0.44774,             0.34152,             0.30466,             0.12476,             0.07829,            0.028769,            0.026207,           0.0080695,           0.0080695,           0.0080695
                  41,            0.074528,            0.026325,            0.020353,              0.4306,             0.38616,              0.3223,             0.11674,            0.081254,            0.028952,            0.026228,             0.00802,             0.00802,             0.00802
                  42,            0.071905,            0.026797,            0.021987,             0.43105,             0.42788,             0.29573,             0.10805,            0.077637,            0.029225,            0.026239,           0.0079705,           0.0079705,           0.0079705
                  43,            0.069323,             0.03396,            0.023046,             0.52115,             0.37303,             0.35034,             0.15592,             0.07519,              0.0293,            0.026039,            0.007921,            0.007921,            0.007921
                  44,            0.071565,            0.031554,            0.022874,             0.48613,             0.31192,             0.27314,             0.12108,             0.08087,            0.028097,             0.02657,           0.0078715,           0.0078715,           0.0078715
                  45,            0.067794,            0.029494,            0.020767,             0.43293,             0.31616,             0.22033,            0.071351,            0.082997,             0.02763,             0.02644,            0.007822,            0.007822,            0.007822
                  46,            0.066871,             0.02706,            0.019165,             0.54269,             0.38092,             0.34332,             0.14611,             0.07188,            0.028798,            0.026197,           0.0077725,           0.0077725,           0.0077725
                  47,            0.069802,            0.032389,             0.02405,             0.46192,             0.34596,               0.313,             0.12423,            0.075532,            0.028811,            0.026174,            0.007723,            0.007723,            0.007723
                  48,            0.070857,            0.026843,            0.021895,             0.48112,             0.34321,             0.29697,             0.14055,            0.075436,            0.028805,             0.02662,           0.0076735,           0.0076735,           0.0076735
                  49,            0.064249,            0.026869,            0.020291,             0.47606,             0.33116,             0.27193,             0.11317,            0.076461,            0.029121,            0.026872,            0.007624,            0.007624,            0.007624
                  50,            0.069302,            0.026239,            0.021515,             0.53935,             0.40129,             0.35508,             0.13928,            0.075375,            0.029409,            0.027117,           0.0075745,           0.0075745,           0.0075745
                  51,            0.064632,            0.026164,            0.018621,             0.55054,              0.4265,              0.3748,             0.16302,            0.076655,             0.02903,            0.026236,            0.007525,            0.007525,            0.007525
                  52,            0.066793,            0.029494,            0.020233,             0.53153,             0.37243,             0.36608,             0.16045,            0.071871,             0.02892,            0.026677,           0.0074755,           0.0074755,           0.0074755
                  53,            0.059488,            0.025904,            0.019006,              0.5243,             0.41565,             0.35914,             0.14341,             0.07249,             0.02852,            0.026944,            0.007426,            0.007426,            0.007426
                  54,            0.065136,            0.028679,            0.023002,             0.50603,             0.43703,             0.35935,             0.13639,            0.073484,            0.028281,            0.025918,           0.0073765,           0.0073765,           0.0073765
                  55,            0.063459,            0.030925,            0.017563,             0.52169,             0.45284,             0.38741,             0.14993,            0.077239,            0.028047,            0.025323,            0.007327,            0.007327,            0.007327
                  56,            0.066006,            0.027099,            0.018146,             0.47041,             0.44859,             0.34705,             0.13943,            0.073422,            0.028381,             0.02532,           0.0072775,           0.0072775,           0.0072775
                  57,            0.064997,            0.027437,             0.02209,             0.51237,             0.41192,             0.37142,             0.15124,            0.070435,            0.028734,            0.025568,            0.007228,            0.007228,            0.007228
                  58,            0.063773,            0.028413,            0.021416,              0.5237,             0.39563,             0.34936,             0.13426,            0.074722,            0.028161,            0.025795,           0.0071785,           0.0071785,           0.0071785
                  59,            0.065307,            0.026534,            0.019851,              0.5322,             0.36745,             0.34748,             0.16647,            0.070561,            0.028819,            0.025847,            0.007129,            0.007129,            0.007129
                  60,            0.063171,            0.026668,            0.019436,              0.5748,             0.40891,             0.36248,             0.15239,            0.071695,            0.028749,            0.025816,           0.0070795,           0.0070795,           0.0070795
                  61,            0.064444,            0.028839,            0.021635,              0.6628,             0.42227,             0.39654,             0.14935,            0.071498,            0.029135,            0.025841,             0.00703,             0.00703,             0.00703
                  62,            0.062088,            0.024581,            0.017692,             0.57831,              0.3743,             0.34105,              0.1453,            0.073322,            0.030569,            0.025976,           0.0069805,           0.0069805,           0.0069805
                  63,            0.064268,            0.025348,            0.020968,             0.56178,             0.36666,             0.34041,             0.13974,            0.075281,            0.029797,            0.026026,            0.006931,            0.006931,            0.006931
                  64,            0.065593,            0.026287,            0.020716,             0.56832,             0.38878,             0.33833,             0.14274,            0.070551,            0.030966,            0.025779,           0.0068815,           0.0068815,           0.0068815
