               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12845,             0.04902,            0.051169,                   0,                   0,                   0,                   0,             0.12968,            0.038661,            0.054235,              0.0982,              0.0002,              0.0002
                   1,             0.12857,            0.038159,            0.052325,                   0,                   0,                   0,                   0,             0.12732,            0.037633,             0.05322,            0.095498,          0.00049835,          0.00049835
                   2,              0.1238,            0.042017,            0.050624,          0.00071301,            0.018182,          0.00039702,          0.00013816,             0.12438,            0.037063,            0.051487,            0.092795,          0.00079472,          0.00079472
                   3,              0.1096,            0.036985,            0.045042,          0.00092025,            0.027273,          0.00063384,           0.0001194,             0.12059,             0.03669,            0.049407,            0.090089,           0.0010891,           0.0010891
                   4,             0.11497,            0.041888,            0.048135,           0.0015524,            0.054545,           0.0044965,           0.0010864,             0.11684,            0.036874,            0.046973,            0.087382,           0.0013815,           0.0013815
                   5,              0.1142,            0.049421,            0.046288,           0.0015524,            0.060101,           0.0075473,           0.0016665,             0.11216,             0.03709,            0.044426,            0.084672,            0.001672,            0.001672
                   6,             0.10803,            0.039688,            0.042402,           0.0023121,             0.12384,            0.017463,            0.002374,              0.1125,            0.036253,            0.041784,             0.08196,           0.0019604,           0.0019604
                   7,             0.10975,            0.035147,            0.041183,           0.0029316,             0.16626,           0.0082172,           0.0028668,             0.10771,            0.036777,             0.03946,            0.079247,           0.0022469,           0.0022469
                   8,             0.10724,            0.042396,            0.041479,           0.0031813,             0.18444,           0.0063167,           0.0014659,             0.10878,            0.035717,            0.037103,            0.076531,           0.0025314,           0.0025314
                   9,             0.10022,            0.039492,            0.037866,           0.0062532,             0.22444,             0.01066,           0.0025875,             0.10476,            0.036322,             0.03513,            0.073814,           0.0028139,           0.0028139
                  10,             0.10807,            0.040413,            0.035031,             0.01344,            0.081818,            0.017675,           0.0061569,             0.11206,            0.035373,            0.034314,            0.071094,           0.0030944,           0.0030944
                  11,             0.10058,            0.039987,            0.033811,             0.61834,            0.018182,            0.023505,           0.0069262,             0.10426,            0.035715,            0.033117,            0.068373,           0.0033729,           0.0033729
                  12,            0.099275,            0.050541,            0.035577,             0.64887,            0.058876,             0.04037,             0.01097,              0.1041,             0.03612,            0.032527,             0.06565,           0.0036495,           0.0036495
                  13,            0.095644,            0.039299,            0.035354,             0.65142,            0.054545,            0.051885,            0.012301,             0.10022,            0.039038,             0.03185,            0.062924,           0.0039241,           0.0039241
                  14,            0.095796,            0.052065,            0.032997,             0.84433,            0.057013,            0.034835,           0.0099497,             0.10435,            0.044246,            0.031375,            0.060197,           0.0041967,           0.0041967
                  15,            0.095061,            0.039087,            0.030781,             0.26144,             0.16758,            0.058529,            0.019349,              0.1008,            0.043056,            0.031111,            0.057467,           0.0044673,           0.0044673
                  16,            0.092618,            0.034924,             0.02824,             0.35748,             0.23727,             0.12798,            0.035622,             0.10161,            0.041629,            0.030465,            0.054736,            0.004736,            0.004736
                  17,            0.089687,            0.033303,            0.033001,             0.32346,              0.2597,             0.13642,            0.038117,            0.096878,             0.03919,            0.029865,            0.052003,           0.0050027,           0.0050027
                  18,            0.087644,            0.042021,            0.030896,             0.32906,             0.29838,             0.14288,            0.043329,            0.099612,            0.039576,            0.029419,            0.049267,           0.0052674,           0.0052674
                  19,            0.091499,            0.030389,            0.030819,              0.3477,              0.3197,             0.14828,            0.048694,             0.10667,            0.037639,            0.029132,             0.04653,           0.0055301,           0.0055301
                  20,            0.089938,            0.037825,            0.029293,             0.29304,             0.31323,             0.12733,            0.039109,            0.093574,            0.039052,            0.029249,            0.043791,           0.0057908,           0.0057908
                  21,            0.086692,            0.043464,            0.030195,             0.27526,             0.31192,            0.079565,            0.022339,            0.096308,            0.045608,            0.029037,             0.04105,           0.0060495,           0.0060495
                  22,            0.086874,            0.034497,            0.028855,              0.2974,             0.30889,             0.12514,            0.042044,              0.1056,            0.043766,            0.028243,            0.038306,           0.0063063,           0.0063063
                  23,             0.09338,            0.036874,            0.027834,             0.68243,             0.14242,            0.095496,            0.028339,            0.095142,            0.048517,            0.028468,            0.035561,           0.0065611,           0.0065611
                  24,            0.089759,            0.035554,            0.027685,             0.24834,             0.21444,            0.093897,            0.028654,            0.091338,            0.049234,            0.028223,            0.032814,           0.0068139,           0.0068139
                  25,            0.082704,             0.03946,            0.027016,              0.4059,             0.38683,              0.2157,            0.072492,            0.091729,            0.041597,            0.027963,            0.030065,           0.0070648,           0.0070648
                  26,             0.08327,            0.029821,            0.024427,             0.30818,             0.33879,             0.14868,            0.043689,             0.09876,            0.045907,              0.0278,            0.027314,           0.0073136,           0.0073136
                  27,            0.086978,            0.030535,            0.027368,             0.38728,             0.31899,             0.19851,            0.063549,            0.093649,            0.038921,            0.028507,             0.02456,           0.0075605,           0.0075605
                  28,            0.087876,            0.027834,            0.029172,              0.2888,             0.24374,             0.13682,            0.049159,            0.095524,            0.040888,            0.028664,            0.021805,           0.0078054,           0.0078054
                  29,            0.079428,            0.041463,            0.026661,             0.73047,             0.13851,             0.19106,            0.065662,            0.096383,             0.04347,            0.028556,            0.019048,           0.0080483,           0.0080483
                  30,            0.084593,            0.051912,            0.026374,             0.37869,             0.26796,               0.201,            0.069325,            0.086624,            0.035037,            0.028147,            0.016289,           0.0082892,           0.0082892
                  31,            0.084646,            0.036025,            0.024612,             0.34024,             0.29496,             0.16758,            0.052852,            0.087141,            0.040032,            0.027973,            0.013528,           0.0085281,           0.0085281
                  32,            0.079165,            0.033515,            0.022139,             0.33034,             0.33414,             0.16067,            0.052859,            0.093289,            0.031812,            0.027989,            0.010765,           0.0087651,           0.0087651
                  33,            0.081759,            0.035324,            0.026617,              0.3305,             0.34434,             0.15864,            0.062392,            0.098106,            0.032563,            0.027913,            0.008911,            0.008911,            0.008911
                  34,            0.084749,            0.031698,            0.026162,             0.39154,             0.37896,             0.23254,            0.081798,            0.084661,            0.031174,            0.027179,            0.008911,            0.008911,            0.008911
                  35,            0.078551,            0.031086,            0.022627,             0.32538,             0.32374,             0.18858,            0.064179,             0.09158,            0.028393,            0.026859,            0.008878,            0.008878,            0.008878
                  36,            0.080812,            0.026153,            0.021677,              0.3532,             0.32949,             0.20161,            0.080616,            0.085999,            0.027574,             0.02682,            0.008845,            0.008845,            0.008845
                  37,            0.076885,             0.02793,            0.022458,             0.59053,             0.24374,             0.20428,            0.068159,            0.086917,            0.029385,            0.026734,            0.008812,            0.008812,            0.008812
                  38,            0.079824,             0.03245,            0.024504,             0.42181,             0.36949,             0.22364,            0.079841,            0.086681,            0.032337,            0.026475,            0.008779,            0.008779,            0.008779
                  39,            0.075963,            0.032148,            0.024581,             0.43362,             0.31374,             0.21836,            0.081743,            0.083882,            0.029311,            0.026604,            0.008746,            0.008746,            0.008746
                  40,            0.073585,            0.033014,            0.023034,             0.36212,             0.25163,             0.21608,             0.08946,            0.083346,            0.027821,            0.027218,            0.008713,            0.008713,            0.008713
                  41,            0.079223,             0.03217,            0.023401,              0.4061,             0.32323,             0.22472,            0.085638,            0.085867,            0.028776,            0.026524,             0.00868,             0.00868,             0.00868
                  42,            0.076845,            0.032091,            0.020216,             0.38663,              0.3997,             0.26336,            0.096277,            0.081247,             0.03175,            0.026468,            0.008647,            0.008647,            0.008647
                  43,            0.076896,            0.031428,            0.024571,             0.41667,             0.42043,             0.28007,            0.089827,             0.07842,            0.032594,            0.026481,            0.008614,            0.008614,            0.008614
