               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12799,            0.041131,            0.053304,                   0,                   0,                   0,                   0,              0.1287,            0.039128,            0.051348,              0.0955,              0.0005,              0.0005
                   1,             0.12638,             0.04521,            0.050603,          0.00032787,           0.0095238,          0.00028742,          0.00011497,             0.12339,             0.03822,            0.048589,            0.090073,           0.0010728,           0.0010728
                   2,             0.12168,            0.040476,            0.049039,          0.00076825,            0.028571,           0.0020294,          0.00058731,             0.11815,             0.03791,            0.045868,            0.084616,           0.0016158,           0.0016158
                   3,             0.11623,            0.040489,            0.045935,           0.0019473,             0.11071,            0.021848,            0.006483,             0.11082,            0.039058,            0.042383,            0.079129,           0.0021292,           0.0021292
                   4,             0.11269,            0.046044,            0.045925,           0.0020632,             0.12976,            0.021198,            0.006213,             0.10745,            0.039289,            0.039266,            0.073613,           0.0026129,           0.0026129
                   5,             0.11243,            0.041629,            0.042875,            0.024878,             0.12024,            0.031868,           0.0065414,             0.10731,            0.038606,            0.036737,            0.068067,           0.0030669,           0.0030669
                   6,             0.10761,            0.038436,            0.038013,             0.51925,           0.0095238,            0.027793,           0.0060095,             0.10489,             0.03848,            0.034189,            0.062491,           0.0034911,           0.0034911
                   7,             0.10456,            0.039926,            0.038244,             0.45151,            0.028571,            0.037137,           0.0089711,             0.10832,              0.0373,            0.032455,            0.056886,           0.0038857,           0.0038857
                   8,            0.098829,             0.03841,            0.033929,             0.43519,            0.066667,            0.033223,            0.010157,             0.10683,            0.036614,            0.031118,            0.051251,           0.0042506,           0.0042506
                   9,             0.10403,            0.034085,            0.032998,             0.66577,            0.057143,            0.059133,            0.013967,            0.098139,            0.037562,            0.030587,            0.045586,           0.0045858,           0.0045858
                  10,            0.096447,            0.052844,            0.033487,             0.66482,            0.066667,            0.064669,            0.017713,             0.10147,            0.037213,            0.030175,            0.039891,           0.0048912,           0.0048912
                  11,            0.099387,            0.042313,            0.033196,             0.68077,             0.07619,            0.057753,            0.015575,             0.10989,            0.036808,            0.029764,            0.034167,            0.005167,            0.005167
                  12,            0.097653,            0.055759,            0.033443,             0.72457,            0.074667,            0.067604,            0.019325,            0.099496,             0.04296,            0.030124,            0.028413,           0.0054131,           0.0054131
                  13,            0.094891,            0.038582,            0.029418,             0.67419,             0.08419,            0.054991,            0.013765,             0.10373,            0.041384,            0.029248,            0.022629,           0.0056295,           0.0056295
                  14,            0.092123,            0.043922,            0.030703,             0.68946,            0.065143,            0.060379,            0.015482,            0.091658,            0.042167,            0.029318,            0.016816,           0.0058161,           0.0058161
                  15,            0.085687,            0.033962,            0.028514,             0.66124,             0.08419,            0.055036,            0.017137,              0.1038,            0.035446,            0.028742,            0.010973,           0.0059731,           0.0059731
                  16,            0.090288,            0.036804,            0.028694,             0.71237,             0.11038,            0.094923,            0.025416,            0.087283,             0.03685,            0.028492,             0.00604,             0.00604,             0.00604
                  17,            0.086094,            0.044655,             0.02906,             0.56552,             0.16599,             0.10805,            0.034385,            0.092125,            0.036534,            0.027823,             0.00604,             0.00604,             0.00604
                  18,            0.087263,            0.040287,            0.029592,             0.52853,             0.18352,             0.11243,            0.032412,             0.08858,            0.036198,            0.027477,           0.0057925,           0.0057925,           0.0057925
                  19,            0.086932,            0.039318,            0.028513,             0.66993,             0.14694,             0.14485,            0.043182,            0.089023,            0.034574,            0.027134,            0.005545,            0.005545,            0.005545
                  20,            0.087766,            0.032724,            0.030802,             0.29465,             0.26174,              0.1126,            0.032431,            0.090345,            0.033688,            0.026959,           0.0052975,           0.0052975,           0.0052975
                  21,            0.082464,             0.04156,            0.028745,              0.5052,             0.23761,             0.11739,            0.039027,            0.088153,            0.033429,            0.026935,             0.00505,             0.00505,             0.00505
                  22,             0.08337,            0.034838,            0.026818,             0.34238,             0.28827,              0.1488,            0.052797,            0.078734,            0.035972,            0.026956,           0.0048025,           0.0048025,           0.0048025
                  23,            0.077442,            0.038122,            0.026252,             0.37413,             0.25056,             0.18695,            0.057248,            0.074889,            0.035847,            0.026923,            0.004555,            0.004555,            0.004555
                  24,            0.079927,            0.032849,             0.02697,             0.55903,             0.23027,             0.18179,            0.070467,            0.078719,            0.033813,            0.026789,           0.0043075,           0.0043075,           0.0043075
                  25,             0.07976,            0.033619,            0.027672,              0.7657,             0.15429,             0.17318,            0.064328,            0.077477,            0.033218,            0.026598,             0.00406,             0.00406,             0.00406
                  26,            0.078236,            0.032495,            0.027708,             0.75538,             0.17465,             0.16721,            0.050094,            0.079241,            0.033977,            0.026516,           0.0038125,           0.0038125,           0.0038125
                  27,             0.07619,            0.033613,            0.026407,             0.79068,             0.16381,             0.19339,            0.070068,            0.074349,            0.034239,            0.026405,            0.003565,            0.003565,            0.003565
                  28,             0.07619,            0.036405,            0.027137,              0.8041,             0.18286,             0.18739,            0.069878,             0.07122,            0.033955,             0.02633,           0.0033175,           0.0033175,           0.0033175
                  29,            0.074089,            0.023293,            0.024077,             0.82492,             0.18729,              0.2046,            0.076782,            0.071057,            0.033999,            0.026277,             0.00307,             0.00307,             0.00307
                  30,             0.07141,            0.036606,            0.025583,             0.78971,             0.18438,             0.20106,            0.083404,            0.071998,            0.032993,            0.026256,           0.0028225,           0.0028225,           0.0028225
                  31,            0.071742,            0.032374,            0.026606,             0.33556,             0.26293,               0.221,            0.074958,            0.070825,            0.033179,            0.026108,            0.002575,            0.002575,            0.002575
