               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12883,            0.044243,            0.052764,                   0,                   0,                   0,                   0,             0.12875,            0.038521,            0.053808,              0.0955,              0.0005,              0.0005
                   1,             0.12513,            0.044307,            0.050673,          0.00070796,            0.018182,          0.00042244,           6.181e-05,             0.12378,            0.037828,            0.051498,            0.090078,           0.0010782,           0.0010782
                   2,             0.11987,            0.045197,            0.049153,           0.0016416,            0.054545,           0.0017839,          0.00033332,             0.11863,            0.037753,            0.048704,            0.084633,           0.0016327,           0.0016327
                   3,             0.11586,            0.044603,            0.046218,           0.0015357,            0.074545,           0.0063799,          0.00093623,             0.11479,            0.037477,            0.045706,            0.079163,           0.0021634,           0.0021634
                   4,             0.11239,            0.040092,            0.045389,           0.0019282,             0.11343,           0.0020303,          0.00046776,              0.1168,            0.036307,            0.042593,             0.07367,           0.0026703,           0.0026703
                   5,             0.11107,            0.041088,             0.04244,           0.0031048,             0.19535,             0.02528,           0.0066037,             0.10776,            0.037188,             0.03979,            0.068154,           0.0031535,           0.0031535
                   6,             0.10722,            0.043123,             0.04234,           0.0025027,             0.13111,            0.029735,           0.0071697,             0.10589,            0.036697,            0.037275,            0.062613,           0.0036129,           0.0036129
                   7,             0.10519,             0.03947,             0.03879,             0.22314,            0.054545,            0.027566,            0.005348,             0.11441,            0.035141,            0.034844,            0.057049,           0.0040486,           0.0040486
                   8,             0.10142,            0.045071,            0.036793,             0.54665,            0.074545,             0.03955,            0.010176,             0.10783,            0.034696,            0.032889,             0.05146,           0.0044605,           0.0044605
                   9,             0.10345,            0.037536,            0.033882,              0.5572,            0.098283,            0.067523,            0.020444,             0.10458,            0.035563,            0.032106,            0.045849,           0.0048486,           0.0048486
                  10,            0.098445,            0.043883,            0.034225,             0.45298,             0.10266,            0.061831,            0.017961,             0.10014,            0.037938,            0.031605,            0.040213,            0.005213,            0.005213
                  11,             0.09771,            0.037071,             0.03277,             0.63789,             0.16531,             0.13469,            0.044147,            0.096432,            0.039583,            0.031083,            0.034554,           0.0055536,           0.0055536
                  12,            0.095858,            0.040925,            0.030566,             0.75105,             0.12329,             0.12088,             0.04411,            0.098985,            0.038171,            0.030595,             0.02887,           0.0058705,           0.0058705
                  13,            0.089562,            0.039791,            0.032561,             0.31602,             0.20768,             0.14817,            0.058517,            0.098042,            0.037576,            0.030438,            0.023164,           0.0061636,           0.0061636
                  14,            0.088896,            0.039709,            0.029774,             0.28785,             0.18889,             0.11566,            0.047078,             0.10058,            0.034799,            0.030296,            0.017433,           0.0064329,           0.0064329
                  15,            0.087181,            0.031697,            0.028223,              0.3218,             0.26394,             0.11885,            0.034795,               0.111,             0.03319,            0.029598,            0.011678,           0.0066785,           0.0066785
                  16,             0.09331,            0.037528,             0.02845,             0.31486,             0.25061,             0.12283,            0.033635,             0.10989,            0.032665,            0.029496,            0.006832,            0.006832,            0.006832
                  17,            0.089387,            0.040741,            0.028045,             0.29943,             0.27596,             0.11541,             0.03766,            0.099862,            0.035171,            0.029462,            0.006832,            0.006832,            0.006832
                  18,            0.091621,             0.03266,            0.024142,             0.27245,             0.24152,             0.11548,            0.038281,            0.095617,            0.035544,            0.029536,            0.006634,            0.006634,            0.006634
                  19,            0.088601,            0.038241,             0.02831,             0.73686,            0.090312,             0.10473,            0.031107,               0.091,            0.036252,            0.029281,            0.006436,            0.006436,            0.006436
                  20,            0.086824,            0.030591,            0.029743,              0.2856,             0.27263,             0.10394,            0.042191,            0.089206,            0.034876,            0.029042,            0.006238,            0.006238,            0.006238
                  21,             0.08501,            0.039219,            0.028011,             0.77907,             0.11971,             0.14029,            0.050757,            0.096421,            0.034265,            0.028793,             0.00604,             0.00604,             0.00604
                  22,            0.086788,            0.034641,            0.028363,              0.3111,             0.30805,              0.1691,            0.063504,            0.084866,            0.036359,            0.028482,            0.005842,            0.005842,            0.005842
                  23,            0.083982,            0.034148,            0.029509,             0.38008,             0.31838,             0.19285,            0.079843,            0.084898,            0.034747,            0.028381,            0.005644,            0.005644,            0.005644
                  24,            0.079005,            0.035774,            0.028741,             0.50703,             0.19687,             0.14165,            0.041704,            0.087951,            0.034902,            0.028487,            0.005446,            0.005446,            0.005446
                  25,            0.080411,            0.034787,            0.026545,             0.37985,             0.27505,             0.19794,             0.09117,            0.083368,            0.034966,            0.028229,            0.005248,            0.005248,            0.005248
                  26,            0.076163,            0.039936,            0.025737,             0.33488,             0.31492,             0.18329,             0.06537,            0.083843,            0.034632,            0.028187,             0.00505,             0.00505,             0.00505
                  27,            0.076125,            0.034827,            0.024567,             0.34887,             0.31444,              0.1798,            0.058294,            0.083062,            0.034233,              0.0283,            0.004852,            0.004852,            0.004852
                  28,            0.076152,            0.033379,            0.024993,             0.36054,             0.28152,             0.24505,            0.089714,            0.083418,            0.032814,            0.028422,            0.004654,            0.004654,            0.004654
                  29,            0.073524,            0.027077,            0.027012,             0.35865,             0.32838,             0.22814,             0.07775,            0.080113,            0.031835,            0.028297,            0.004456,            0.004456,            0.004456
                  30,            0.074477,            0.037493,            0.026107,             0.45463,             0.33747,             0.25556,              0.1065,            0.078596,            0.032422,            0.028095,            0.004258,            0.004258,            0.004258
                  31,             0.07355,            0.032342,            0.025265,             0.38936,             0.34859,             0.29401,             0.13087,             0.07976,            0.032255,            0.027712,             0.00406,             0.00406,             0.00406
