               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12814,            0.045574,            0.052529,                   0,                   0,                   0,                   0,             0.12783,             0.03919,            0.050977,               0.091,               0.001,               0.001
                   1,             0.12538,            0.039889,            0.050299,           0.0015666,            0.057143,             0.00306,          0.00047374,             0.11804,            0.039566,            0.045981,            0.081048,            0.002048,            0.002048
                   2,              0.1192,            0.047418,             0.04756,           0.0019429,             0.11071,            0.012122,           0.0025895,             0.11258,            0.039881,            0.042469,            0.071042,           0.0030416,           0.0030416
                   3,             0.11312,            0.044427,            0.043606,            0.002123,              0.1289,            0.018182,           0.0042134,             0.10911,            0.039415,             0.03885,            0.060981,           0.0039807,           0.0039807
                   4,             0.11038,            0.041893,            0.040729,             0.22788,            0.028571,            0.020643,           0.0035989,              0.1065,            0.038321,            0.035143,            0.050865,           0.0048654,           0.0048654
                   5,             0.10554,             0.04126,            0.042007,             0.43326,            0.047619,             0.02484,           0.0061051,             0.10469,            0.037068,            0.033355,            0.040696,           0.0056956,           0.0056956
                   6,             0.10852,            0.047673,            0.037128,             0.64572,             0.07619,            0.033589,           0.0078841,             0.10968,            0.034836,            0.031642,            0.030471,           0.0064714,           0.0064714
                   7,             0.10816,            0.039402,            0.035762,             0.42874,            0.095238,            0.044169,           0.0087654,             0.11037,            0.034185,            0.031233,            0.020193,           0.0071927,           0.0071927
                   8,             0.10292,            0.036367,            0.032327,             0.63777,            0.057143,            0.032547,           0.0071805,             0.10606,             0.03607,            0.030905,           0.0098596,           0.0078596,           0.0078596
                   9,             0.10483,            0.038146,            0.033877,             0.44922,             0.12076,            0.052855,            0.014711,             0.10055,            0.039505,            0.030753,           0.0077725,           0.0077725,           0.0077725
                  10,             0.09534,            0.044124,            0.032149,             0.65871,             0.08419,            0.062332,            0.015651,            0.098339,            0.041036,            0.030337,           0.0077725,           0.0077725,           0.0077725
                  11,            0.093282,            0.039148,            0.030357,             0.68931,            0.069266,            0.077084,            0.013294,             0.10392,            0.041379,            0.029746,            0.007525,            0.007525,            0.007525
                  12,            0.096277,            0.035476,            0.030899,             0.88526,            0.038095,            0.044494,            0.015043,              0.1009,            0.039297,            0.029285,           0.0072775,           0.0072775,           0.0072775
                  13,            0.093271,             0.03559,             0.02881,               0.658,             0.07619,            0.069694,            0.019713,            0.098959,            0.037753,             0.02919,             0.00703,             0.00703,             0.00703
                  14,            0.090119,            0.044033,            0.032492,             0.26458,             0.18999,            0.078621,            0.021252,            0.087491,            0.041198,            0.028636,           0.0067825,           0.0067825,           0.0067825
                  15,              0.0901,            0.046191,            0.029231,             0.28214,             0.22947,             0.08101,            0.024016,            0.088047,            0.041549,            0.028295,            0.006535,            0.006535,            0.006535
                  16,            0.084337,             0.04454,            0.029371,             0.29516,             0.18047,            0.094475,            0.035688,            0.092403,            0.036399,            0.027743,           0.0062875,           0.0062875,           0.0062875
                  17,            0.087619,            0.036782,            0.029032,             0.37588,             0.20837,             0.13161,            0.035158,            0.081717,            0.038937,            0.027587,             0.00604,             0.00604,             0.00604
                  18,            0.082936,            0.035533,            0.027701,             0.59777,             0.16441,             0.11934,            0.052191,            0.084327,            0.036286,            0.027332,           0.0057925,           0.0057925,           0.0057925
